trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
505,False,"{'a': 0.2675, 'e': 0.21980818484776168}",20,2,-80.35816823365683,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 2}",1
506,False,"{'a': 0.267, 'e': 0.2191497484416548}",20,12,15.71886078188255,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
507,False,"{'a': 0.2665, 'e': 0.21849328438476312}",20,10,7.301686169266354,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
508,False,"{'a': 0.266, 'e': 0.21783878676890578}",25,5,1.09106800316837,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
509,False,"{'a': 0.2655, 'e': 0.21718624970359973}",20,3,29.954325539752375,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
510,False,"{'a': 0.265, 'e': 0.21653566731600707}",20,8,20.965656848561686,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
511,False,"{'a': 0.2645, 'e': 0.2158870337508818}",25,14,-42.69723778379684,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
512,False,"{'a': 0.264, 'e': 0.21524034317051757}",25,11,13.299873877562232,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
513,False,"{'a': 0.2635, 'e': 0.21459558975469478}",30,14,13.251161643199339,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
514,False,"{'a': 0.263, 'e': 0.21395276770062824}",25,13,22.76560929552813,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
515,False,"{'a': 0.2625, 'e': 0.21331187122291523}",20,10,18.158197604725903,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
516,False,"{'a': 0.262, 'e': 0.21267289455348304}",25,14,12.297609652198862,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
517,False,"{'a': 0.2615, 'e': 0.2120358319415374}",20,11,-3.9806292062170545,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
518,False,"{'a': 0.261, 'e': 0.21140067765351048}",20,1,-0.5749192010891588,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
519,False,"{'a': 0.2605, 'e': 0.2107674259730094}",30,15,-28.254535415459575,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
520,False,"{'a': 0.26, 'e': 0.21013607120076472}",25,5,11.770021685222133,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
521,False,"{'a': 0.2595, 'e': 0.20950660765457932}",20,0,14.567138249615326,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
