trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
79,True,"{'a': 0, 'e': 0}",20,0,24.068876025396477,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
80,True,"{'a': 0, 'e': 0}",30,0,-23.442389400737326,"{0: 28, 1: 0, 2: 0, 3: 1, 4: 1}",0
81,True,"{'a': 0, 'e': 0}",20,8,19.960482298136895,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,True,"{'a': 0, 'e': 0}",25,11,15.978772440514183,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
83,True,"{'a': 0, 'e': 0}",30,1,45.04065909698712,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,True,"{'a': 0, 'e': 0}",20,0,25.46874070004172,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
85,True,"{'a': 0, 'e': 0}",20,0,6.871052783273616,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
86,True,"{'a': 0, 'e': 0}",20,0,28.252187413618245,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
87,True,"{'a': 0, 'e': 0}",25,11,23.64335702410022,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,True,"{'a': 0, 'e': 0}",30,1,49.872632215328494,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,True,"{'a': 0, 'e': 0}",25,0,38.43956513036517,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
90,True,"{'a': 0, 'e': 0}",20,6,23.592233065195774,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,True,"{'a': 0, 'e': 0}",20,0,35.35436122205637,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
92,True,"{'a': 0, 'e': 0}",20,9,17.756866634819442,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,True,"{'a': 0, 'e': 0}",25,0,39.483413866210874,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
94,True,"{'a': 0, 'e': 0}",25,4,31.923088934801648,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,True,"{'a': 0, 'e': 0}",20,6,25.89161011496295,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,True,"{'a': 0, 'e': 0}",20,13,12.78144787783999,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,True,"{'a': 0, 'e': 0}",25,19,9.863058450017283,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,True,"{'a': 0, 'e': 0}",25,20,9.590617118674766,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,True,"{'a': 0, 'e': 0}",30,7,34.070151550206006,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,True,"{'a': 0, 'e': 0}",25,14,21.444347432807078,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
